"Column","Type","Extra","Comment"
fields__updated,varchar,"",""
fields__versions,varchar,"",""
fields__votes__hasvoted,boolean,"",""
fields__votes__self,varchar,"",""
fields__votes__votes,bigint,"",""
fields__watches__iswatching,boolean,"",""
fields__watches__self,varchar,"",""
fields__watches__watchcount,bigint,"",""
fields__workratio,bigint,"",""
id,varchar,"",""
key,varchar,"",""
self,varchar,"",""
fields__customfield_10951__disabled,varchar,"",""
fields__customfield_10951__id,varchar,"",""
fields__customfield_10951__self,varchar,"",""
fields__customfield_10951__value,varchar,"",""
fields__customfield_19162__disabled,varchar,"",""
fields__customfield_19162__id,varchar,"",""
fields__customfield_19162__self,varchar,"",""
fields__customfield_19162__value,varchar,"",""
fields__customfield_20955__active,varchar,"",""
fields__customfield_20955__avatarurls__16x16,varchar,"",""
fields__customfield_20955__avatarurls__24x24,varchar,"",""
fields__customfield_20955__avatarurls__32x32,varchar,"",""
fields__customfield_20955__avatarurls__48x48,varchar,"",""
fields__customfield_20955__displayname,varchar,"",""
fields__customfield_20955__emailaddress,varchar,"",""
fields__customfield_20955__key,varchar,"",""
fields__customfield_20955__name,varchar,"",""
fields__customfield_20955__self,varchar,"",""
fields__customfield_20955__timezone,varchar,"",""
fields__customfield_21052,varchar,"",""
fields__customfield_21059,varchar,"",""
fields__customfield_10256,varchar,"",""
fields__customfield_10652,varchar,"",""
fields__customfield_10653,varchar,"",""
fields__customfield_10654,varchar,"",""
fields__customfield_10656,varchar,"",""
fields__customfield_10660,varchar,"",""
fields__customfield_10663,varchar,"",""
fields__customfield_11350,varchar,"",""
fields__customfield_11857,varchar,"",""
fields__customfield_11864,varchar,"",""
fields__customfield_12055,varchar,"",""
fields__customfield_12058,varchar,"",""
fields__customfield_12150,varchar,"",""
fields__customfield_12151,varchar,"",""
fields__customfield_12360,varchar,"",""
fields__customfield_12751,varchar,"",""
fields__customfield_13150,varchar,"",""
fields__customfield_13451,varchar,"",""
fields__customfield_13451__active,varchar,"",""
fields__customfield_13451__avatarurls__16x16,varchar,"",""
fields__customfield_13451__avatarurls__24x24,varchar,"",""
fields__customfield_13451__avatarurls__32x32,varchar,"",""
fields__customfield_13451__avatarurls__48x48,varchar,"",""
fields__customfield_13451__displayname,varchar,"",""
fields__customfield_13451__emailaddress,varchar,"",""
fields__customfield_13451__key,varchar,"",""
fields__customfield_13451__name,varchar,"",""
fields__customfield_13451__self,varchar,"",""
fields__customfield_13451__timezone,varchar,"",""
fields__customfield_13452,varchar,"",""
fields__customfield_13453,varchar,"",""
fields__customfield_13956__errormessage,varchar,"",""
fields__customfield_13956__i18nerrormessage__i18nkey,varchar,"",""
fields__customfield_13956__i18nerrormessage__parameters,varchar,"",""
fields__customfield_14153,varchar,"",""
fields__customfield_14154,varchar,"",""
fields__customfield_14157,varchar,"",""
fields__customfield_14158,varchar,"",""
fields__customfield_14159,varchar,"",""
fields__customfield_14159__disabled,varchar,"",""
fields__customfield_14159__id,varchar,"",""
fields__customfield_14159__self,varchar,"",""
fields__customfield_14159__value,varchar,"",""
fields__customfield_14165,varchar,"",""
fields__customfield_14251__disabled,varchar,"",""
fields__customfield_14251__id,varchar,"",""
fields__customfield_14251__self,varchar,"",""
fields__customfield_14251__value,varchar,"",""
fields__customfield_14252__active,varchar,"",""
fields__customfield_14252__avatarurls__16x16,varchar,"",""
fields__customfield_14252__avatarurls__24x24,varchar,"",""
fields__customfield_14252__avatarurls__32x32,varchar,"",""
fields__customfield_14252__avatarurls__48x48,varchar,"",""
fields__customfield_14252__displayname,varchar,"",""
fields__customfield_14252__emailaddress,varchar,"",""
